political_era,country_status,avg_team_score,avg_medals,unique_countries,avg_participation_years
Cold War Era (1971-1991),Host,133.4,4.8,15,1.1333333333333333
Cold War Era (1971-1991),Independence,114.2,4.4,5,20
Cold War Era (1971-1991),Stable,87.53398058252428,2.8932038834951457,103,19.83495145631068
Contemporary Era (2020-),Host,130,4.666666666666667,3,1
Contemporary Era (2020-),Independence,114.2,4.4,5,5
Contemporary Era (2020-),Stable,87.53398058252428,2.8932038834951457,103,4.970873786407767
Early Period (1959-1970),Host,138.16666666666666,5.666666666666667,6,1.5
Early Period (1959-1970),Independence,114.2,4.4,5,12
Early Period (1959-1970),Stable,87.53398058252428,2.8932038834951457,103,11.912621359223301
Modern Era (2001-2019),Host,124.17647058823529,4.823529411764706,17,1.0588235294117647
Modern Era (2001-2019),Independence,114.2,4.4,5,19
Modern Era (2001-2019),Stable,87.53398058252428,2.8932038834951457,103,18.825242718446603
Post-Soviet Era (1992-2000),Host,142.625,5.5,8,1
Post-Soviet Era (1992-2000),Independence,114.2,4.4,5,9
Post-Soviet Era (1992-2000),Stable,87.53398058252428,2.8932038834951457,103,8.922330097087379
