era,country_status,avg_team_score,avg_medals,unique_countries
Cold War Era (1971-1990),Host,135.625,5,14
Cold War Era (1971-1990),Transitioned,114.2,4.4,5
Cold War Era (1971-1990),Stable,87.13755795981453,2.8758371973209687,103
Contemporary Era (2020-),Host,130,4.666666666666667,3
Contemporary Era (2020-),Transitioned,114.2,4.4,5
Contemporary Era (2020-),Stable,87.28515625,2.8828125,103
Early Period (1959-1970),Host,141.55555555555554,5.777777777777778,6
Early Period (1959-1970),Transitioned,114.2,4.4,5
Early Period (1959-1970),Stable,87.13773431132844,2.8720456397718013,103
Modern Era (2001-2019),Host,126.27777777777777,4.888888888888889,17
Modern Era (2001-2019),Transitioned,114.2,4.4,5
Modern Era (2001-2019),Stable,87.17431665807118,2.8746776689014957,103
Post-Soviet Era (1991-2000),Host,138.11111111111111,5.333333333333333,9
Post-Soviet Era (1991-2000),Transitioned,114.2,4.4,5
Post-Soviet Era (1991-2000),Stable,87.08814887365328,2.871694417238002,103
